model,sim_time,arrival_mean,service_mean,num_nurses,seed,total_arrived,total_served,average_wait,average_system_time,utilization,max_queue_length,average_wait_red,average_wait_yellow,average_wait_green,scenario_group,scenario_name
priority,1000,5,4,1,4003,190,178,12.262037854402486,16.584801941820004,0.7694520075603183,11,3.6598783033217295,5.739981895333278,17.133198293223906,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4004,182,181,11.792996932908316,15.855741476530367,0.7353567623955917,11,2.8424242832237456,4.196146751506693,17.153525337273237,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4005,191,189,8.469580534495387,12.142551231287742,0.6941914616937558,10,2.868870726193825,3.2106208047995852,11.69179360551672,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4006,199,195,13.22285653909093,17.23338097386972,0.7820522647818645,13,4.449956267838759,6.374321252547482,17.604673306651822,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4007,205,198,12.593498204624002,16.531638776073915,0.7797518331470832,14,2.870685654050343,4.437713750865271,17.834078888079432,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4008,190,189,7.443751099850809,11.058856897109708,0.6832549956819319,9,2.069168351550074,4.795724167345226,9.35262865994583,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4009,206,205,24.78022006418309,28.681585823174608,0.7997799805932612,19,3.888578396357996,6.64945429245118,37.40610473725831,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4010,204,203,25.095378561105512,29.27581921690608,0.8486294531275153,18,2.998689302575911,6.30084872103275,39.67219796746955,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4011,197,197,6.2611822271802735,10.013156522234045,0.7391389361255928,6,2.467590205518638,4.268432487739455,8.127273817013556,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4012,190,186,10.589229978423221,14.552333828763174,0.7371373161632313,11,2.7761673709326793,4.299477198608257,15.475087330534127,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4013,195,193,7.651472067803084,11.401487182240041,0.7237529170863329,8,4.026385957664926,3.418024557737272,10.356715432255795,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4014,206,196,16.465664987403688,20.488537553793126,0.7884830230123299,13,2.7219545976382014,4.307296554652044,23.76827808693096,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4015,198,192,6.808187794145527,10.761563067760727,0.7590480525341186,8,2.900858961130838,3.5048676966740415,9.545219410930017,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4016,212,211,7.125872477979793,10.784189118533485,0.7719048111568294,10,3.800301452705862,6.172150171270945,7.948303369294276,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4017,225,222,13.018762011141273,16.76433444976255,0.8315170813739236,12,2.296628647513914,5.35992356201632,19.017157823285856,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4018,184,184,5.826852163544215,9.194235907122474,0.6195986088184001,9,1.533863526981051,3.7941571898612168,7.456483741323309,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,1,4019,208,199,18.552049972690664,22.839660576951168,0.8532345102478401,14,2.728542386125907,5.651250285387807,29.279994320155776,nurse_count_comparison,priority_nurses_1_fixed_load
priority,1000,5,4,2,5000,182,181,0.2698895372731695,3.95081638863553,0.33312388004829335,4,0.028469069987446954,0.34619240414997254,0.2691276528187736,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5001,205,204,0.5362872327179842,4.492694166778644,0.4035535072741873,4,0.3845456573356415,0.4721000228357667,0.5837861181727763,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5002,223,221,0.464032007829579,4.163573826909547,0.4087993710083364,4,0.11735438036207396,0.292373024370157,0.5910004133677459,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5003,192,192,0.3990476937630949,4.235711985488781,0.36831977200566574,3,0.08312648262566995,0.25339652198222495,0.5285756953950156,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5004,205,203,1.1552027095078652,5.186940411338291,0.4092213767357883,5,0.18232147293106268,0.9687668369824487,1.4199543928767724,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5005,193,192,0.3720549644404987,4.064978510077456,0.354520660381148,3,0.3035450438220058,0.23129536666202766,0.43084996370869505,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5006,185,184,0.5163744768050598,4.653721204080736,0.38063589890936234,3,0.1797702400316899,0.39258756933080513,0.6623494989401544,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5007,215,213,1.9127742811231547,6.301115913415917,0.46735838383917916,10,0.5041495177173957,1.0363608034697478,2.5199720550127758,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5008,201,201,0.6639624395385837,4.4138918846815365,0.3768679092368667,4,0.280367592859875,0.555499583385395,0.7531579926223806,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5009,214,213,0.9677371769932737,5.020189234324985,0.4315861441058273,4,0.7645478620529935,0.7175154533100252,1.131924038575451,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5010,227,226,0.6590981721048944,3.871291290569874,0.36297782238654275,4,0.2690734316562532,0.47069229736161194,0.8398411294128972,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5011,202,202,0.8783415033907691,5.341909697486879,0.45082038760370724,5,0.46263997903678844,0.3788148642000631,1.2269163925743205,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5012,187,184,0.6538959987322694,4.7235390674979945,0.3744071623264469,5,0.22937892643627222,0.23498852678646512,0.9119071973446325,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5013,206,206,0.8723200432245777,4.9315736651400774,0.4181031230572964,4,1.0364012585984597,0.7845630945168202,0.8844103600401849,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5014,198,197,0.5054880322731898,4.512308700103576,0.39467183578129306,3,0.5909473411671345,0.27937725332333746,0.5934338781861571,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5015,207,207,0.5474789069966935,4.771407446101401,0.4371766037973373,3,0.5398992655736538,0.4127568518597826,0.6260463968602723,nurse_count_comparison,priority_nurses_2_fixed_load
priority,1000,5,4,2,5016,184,184,0.6454221342159273,4.611785280702734,0.36490540947678607,3,0.36942285825013615,0.24872977088553766,0.9094608568001575,nurse_count_comparison,priority_nurses_2_fixed_load
